row_id,Prediction
0,56.4992585262
1,42.0019763932
2,19.3419862557
3,51.2905196128
4,46.5897545813
5,9.94820356466
6,34.4243493875
7,33.7398415495
8,34.4434285915
9,45.0669380094
10,8.98207785649
11,47.3673164125
12,13.1461626422
13,35.3582062802
14,54.3971341755
15,20.2808920854
16,56.9481053719
17,35.3092325473
18,59.2856568909
19,17.4067696571
20,20.4865055028
21,37.3536235434
22,39.2841968231
23,55.2951300823
24,37.9888696227
25,33.9389306402
26,60.7949686319
27,50.3287501276
28,53.8304901573
29,2.5902201653
30,9.21017446323
31,64.8104283014
32,65.2670289929
33,41.9618781406
34,45.4598003968
35,20.4923406522
36,43.1959923506
37,17.9025552257
38,71.0639552055
39,44.2094745356
40,5.57333913855
41,40.1250089678
42,70.3525097419
43,34.0094313937
44,25.3134433087
45,20.4998773178
46,26.140944232
47,11.7467619804
48,38.9729576762
49,17.0205427494
50,43.2296233884
51,17.7425260661
52,53.2510933005
53,48.5508419448
54,15.9641971821
55,39.534834407
56,43.8443843741
57,28.603046572
58,17.3117484633
59,47.6135555515
60,31.8019987659
61,44.3641411606
62,40.1843354046
63,22.746756755
64,26.0839695342
65,42.2718102135
66,12.6913206118
67,58.6511410512
68,43.2545356011
69,23.5600953536
70,22.7253014067
71,53.5793187054
72,29.3077152194
73,11.7628788843
74,11.1214404718
75,20.9705009401
76,55.5708034508
77,47.8377926408
78,40.9988453494
79,7.36781144068
80,42.6923179721
81,48.513773182
82,22.8446777587
83,36.4811409593
84,66.5037236869
85,18.9405026703
86,35.165563643
87,36.6789161089
88,7.58894210321
89,3.76891866508
90,53.795296998
91,29.1942023653
92,32.3632542806
93,52.3049836718
94,73.705774067
95,9.43472129578
96,56.8559006995
97,41.5571800863
98,9.43900812641
99,67.1912324861
100,18.4541421396
101,51.3510098818
102,42.1676157212
103,24.474788314
104,54.4228457203
105,47.0299243753
106,60.0569148997
107,45.7039175975
108,12.7513259015
109,59.4921656343
110,53.0469775194
111,49.9386922395
112,40.0779397301
113,73.063960189
114,25.617501742
115,3.8769229901
116,41.2552403285
117,12.7123117604
118,34.2693607343
119,12.3213119906
120,62.3859123719
121,53.3410017578
122,44.4794434595
123,31.2578681792
124,43.2043784784
125,58.7513020005
126,12.3056846858
127,47.3961690688
128,25.8031003645
129,43.8792611383
130,60.2088057351
131,63.0387185572
132,24.0916736048
133,30.246426688
134,42.6219041744
135,21.0606968638
136,17.8076705167
137,58.7692298315
138,43.7408947178
139,45.9926896058
140,3.12455632336
141,12.2362266217
142,9.64558635624
143,45.4014711322
144,40.5353910417
145,4.89961493161
146,53.2663555171
147,27.7084465969
148,51.4074038305
149,12.274538796
150,68.655620276
151,42.2092326781
152,31.7300047509
153,15.2982887792
154,49.065044369
155,60.1710569408
156,52.8623319676
157,50.6515561698
158,29.1709104182
159,29.4824128847
160,41.454937026
161,11.6634439488
162,12.9086108177
163,22.941882256
164,62.2420701212
165,59.232552494
166,57.9728739064
167,74.6907674832
168,44.0695237617
169,45.4267082767
170,16.6253971479
171,36.0726180873
172,55.2038249744
173,43.5760661877
174,68.2476961339
175,15.9087953935
176,39.322985098
177,73.5407508455
178,26.0177873109
179,13.1034812755
180,38.9486057441
181,20.1883472894
182,49.3621362493
183,50.3415011218
184,20.6819656824
185,17.4594472271
186,59.6310658506
187,41.2174656859
188,55.1760163713
189,54.9096014022
190,38.0588953432
191,56.418384084
192,32.3044012938
193,34.4628403382
194,5.95445610316
195,65.4876450268
196,40.020105354
197,42.1187959577
198,36.2863605118
199,48.5543124209
200,42.4770415983
201,9.82293600719
202,24.0599321984
203,27.2313642128
204,47.2296561688
205,46.0794468775
206,72.2758691333
207,21.1711913826
208,47.2437043016
209,41.4013469774
210,16.8920506238
211,12.0455850094
212,39.2600345378
213,60.6021046445
214,5.9254926438
215,29.8336778477
216,32.5267952321
217,50.9501899688
218,22.6375314232
219,6.90717689237
220,54.2821703258
221,13.2834905749
222,46.9554361153
223,18.7687320299
224,37.3849521446
225,47.54805822
226,60.4630716987
227,40.7544901154
228,50.1505036325
229,8.48396882653
230,32.4687537811
231,45.6464055253
232,11.5149993412
233,32.3451118744
234,44.2804366561
235,42.3841323351
236,24.5745660162
237,44.8610934274
238,30.3830171934
239,31.3139458611
240,36.785167139
241,32.0787530514
242,21.1033993837
243,61.3179930766
244,49.1552998541
245,42.206198979
246,61.4979016621
247,75.1357095347
248,59.7896332622
