単位セメント量(kg in m^3),高炉スラグ分量(kg in m^3),フライアッシュ分量(kg in m^3),単位水量(kg in m^3),高性能AE減水剤分量(kg in m^3),粗骨材分量(kg in m^3),細骨材分量(kg in m^3),材齢(日)
236.0983350058412,0.0,25.75356898212162,192.02413061041005,3.505034325322227,1018.4756811079287,868.0224663170767,0.8
303.9215401145364,0.0,33.51592236810782,211.73383206400615,1.9447611556511877,866.9525350439109,636.808399977279,80.9157141369669
273.5252784200641,57.25554066003777,128.53402166401946,149.9481485269859,5.243032903204576,994.2685437358762,743.6413640969666,88.2525322644661
210.1039985180314,22.42353864891497,50.81830412414856,157.46979219400265,11.532614716910594,1032.5686238530454,863.0849245377939,0.8
285.541174545628,133.93022598898736,154.86680876719356,139.8305274199907,4.0895358295476765,1088.3913956416202,854.586012929241,113.56052760585261
297.82547112758533,179.0775051319532,58.96767575970378,164.13113165189503,10.439830512760636,859.6599595411207,732.1134078388824,19.96997167086973
328.7809163051483,70.3197928429506,0.0,175.20600563508648,7.179459121114419,1046.0936156148096,805.232042845564,102.60557440112012
163.04282236475535,26.48644530220067,103.02288520589289,170.5779709673575,6.4556069471961735,986.6293267371705,704.3258616594547,112.15368004142013
253.18074330813616,187.03685258792365,81.66899931270096,167.06201783234275,9.688000045141479,1016.5327228181912,738.1614081987144,70.37490126478367
312.184541939388,109.00708346211249,69.23489271089704,214.7567653454901,12.657016333627713,1036.000898624935,929.4210302026081,71.97142346772833
308.77981191245533,32.01634212518153,41.944889736503264,182.45919600171726,10.243107555981858,1063.2387566353254,794.6577030065492,42.20397391207225
219.45381942692148,0.0,129.81927215427004,179.25275631596583,3.8404049576833197,946.6466584204744,839.0395176049087,84.49951169746211
407.4045329863613,23.251685854683664,56.06174924337224,145.55702333146752,14.069411788702816,1001.1351990647279,706.8800963604971,0.8
344.1158497833999,11.146894627031685,9.704822819826681,182.19836803192186,0.0,973.365116485638,754.5126384012723,56.32801504376723
407.61168037478365,117.72459455555747,0.0,167.09712992188787,0.0,927.472453907041,749.0290378634897,142.6644672317795
315.3775693504399,0.0,19.970575594637637,181.09401513542866,6.205462964685271,980.1937310927702,883.1850801723039,30.87388262410049
414.4303301392732,0.0,94.0374765274716,181.0732545614402,6.583268757819013,944.0996673548808,788.2964893678774,114.55007335719932
184.4554325919235,184.1582344260636,218.8618236763839,130.15091801152474,0.0,899.1359867726115,839.3598677347493,110.48107185323528
274.55251217206916,203.39800149233838,0.0,219.0329016240936,2.4899572696533627,1065.868091826638,912.0707319295209,61.42114273060879
241.34992598740982,0.0,45.87545032506077,207.16251188639364,11.986738461682648,1043.8969137364859,735.1994237196648,16.474680644975415
265.7582953987144,22.92976286025825,68.76230948208348,171.11582488449713,1.4873306366570702,893.0448720979449,804.0536641482422,14.131508471659608
282.5009453934066,66.38982228291235,0.0,156.4796397248923,1.6145546461688305,1052.287209717689,695.0596560845947,25.98154359847885
267.7000216887118,61.329944397062185,59.53361844914365,186.7904387018668,0.4756843013223335,1036.440106379873,818.3450885193896,111.07267234420014
352.8610019892475,243.2333528311156,130.00936256384358,194.0175090270767,1.3523577590596263,899.3751714289751,768.0550961059993,0.8
301.90924072198624,22.339426936386275,153.40527127666542,151.8340301682984,8.631700665337652,928.7191016694649,809.126841724192,52.98145708811826
536.9814057947244,0.0,0.0,181.2643884267783,16.488442074927494,1163.7541994065596,630.7077970338736,17.172107968585
332.60521049723593,137.54078777122885,0.0,166.9021788206733,13.46639256093447,865.8713359146587,766.670009175084,0.8
480.1043270935322,193.48047829773878,44.140442815739306,203.4538270638123,3.1327785900825704,1121.6155866893296,777.6945990250105,24.017305155935073
302.0079105121867,54.41716489386812,154.74454506428754,192.33524231527295,0.0,995.7849875071468,698.7698859941862,88.32394319277013
201.1253583820042,7.608046717174091,0.0,158.63318863835906,2.819744658828044,1056.0257146276906,701.8241073932577,99.98586305756179
263.23893091914175,0.0,0.0,207.9832929189951,20.23883174831765,1082.6547612499826,823.6584580989271,86.61236965703853
438.6805106881685,0.0,92.13228807735703,185.37806052019215,11.952273008929673,1046.530203244349,817.9552476755997,0.8
229.31244704573834,42.52356268303838,78.86003092168794,202.64949515608347,4.895373411319039,1011.1905105071985,788.1002062159617,128.8511438426441
254.66159766638282,186.5413491576703,139.83215259996334,188.90316386510256,11.572181427850598,1005.3992834838496,803.5532962551446,28.574712515915632
209.4539225572729,0.0,71.68496523986042,186.97272460555942,21.90426260295745,1034.827701634175,745.000986125393,13.554582923578003
214.4307394257853,23.014771644272642,0.0,199.9892092087583,3.8651903231457587,1007.4126670030931,716.9524943209026,83.24617504311865
193.83778364342896,0.0,79.02395052502358,192.96643126738502,20.46967873345961,983.7378574189893,945.809627822209,47.540836700708944
424.20396212137405,0.0,109.98822958043141,158.3202070339433,12.568085914555557,978.8780485804862,722.5202916162473,48.42719565053902
288.3080629380447,0.0,14.559611261257238,147.93877310993443,9.543612648223451,1016.337560873393,838.2492697714413,43.02669953779145
259.4456504979971,122.74054827528921,137.83693100128352,182.7933452781918,4.5613268553755715,1083.9264085808995,868.011995938454,115.77338635537677
369.7512785910003,333.23885032973135,0.0,202.49049541841603,15.159367017911897,988.1241050366054,727.3182590122664,113.9637647168275
