,単位セメント量(kg in m^3),高炉スラグ分量(kg in m^3),フライアッシュ分量(kg in m^3),単位水量(kg in m^3),高性能AE減水剤分量(kg in m^3),粗骨材分量(kg in m^3),細骨材分量(kg in m^3),材齢(日)
0,295.376495413904,0.0,23.376797237740035,166.92985554440872,5.955092695529536,993.5672631719917,745.1397962382993,111.56180177963061
1,187.20616920420423,151.01934163641388,0.26765456676441346,178.83087930791044,0.0,905.1708660975216,719.9488383893101,73.49031742599531
2,332.89215712888284,45.39820551077361,42.80247080212713,194.29024868892304,10.75630158600494,864.0936192629738,676.3274172610988,0.8
3,247.85832411533724,99.31004618966423,0.0,157.64362976120103,0.0,941.3613953992185,833.6238282553238,83.27758466905615
4,221.72147129082964,39.95604183419922,73.7152083305561,178.92246471167195,11.348399637703796,997.1434356317443,747.5756162521609,44.216551178016026
5,253.92065632756078,35.16264331231145,19.017845223397586,160.58836873304395,0.0,991.2461720202137,741.7296004126054,0.8
6,222.47929603215366,18.67146572748554,42.50287947114949,205.54028139436366,11.67625790959628,903.9142009802597,816.3407946677548,67.87046843734026
7,322.56001534216387,0.0,27.827850193689912,229.97939548938598,9.260094145918174,964.0253658071754,868.3164827646825,111.64414133272608
8,177.19901431086993,184.07998955139942,0.0,213.575076305318,0.0,853.4485105842666,770.0319259491612,84.60406589859255
9,299.92642673628507,0.0,93.11653059952006,190.79004696847585,3.2107726415662485,955.3838656825753,752.8766373566198,104.93542358998556
10,224.65531193165748,17.11586809296179,0.0,170.53256786197673,16.415622114196236,1058.5515960578252,759.6574529491859,0.8
11,329.2117059411357,101.4553714868139,156.77935614800668,184.58842215929747,16.240101808302946,1002.7482506609399,864.3482498415733,108.3610435944978
12,413.12723318130656,0.0,0.0,204.9574001746246,13.111745372183956,1046.0859955639646,745.8427718804344,0.8
13,133.35759820906983,0.0,36.6153621777633,166.45048653065945,13.452386019666275,961.4252006486091,896.2993266731144,102.62949137417307
14,266.89938077280704,0.0,21.83375566407868,143.8203437172724,8.677159493729661,1027.194866947422,860.2738174878335,86.81345351219673
15,316.5808528216828,117.20864286386293,28.926851982878734,169.92756932435626,6.674193040061386,925.7526675695557,724.6845473425512,0.8
16,312.89427753073926,284.73706056631363,83.74693769480335,195.6728545426926,10.080956350685089,866.5187447587086,782.3701159715719,81.64615809874431
17,204.09758135675168,74.23812011666695,2.595752253765845,204.56112192539945,2.46835822060369,993.4617319485807,852.0568297019029,82.31285630659116
18,441.0235437485346,96.47344252081062,0.0,175.90269919669242,5.181609449849608,1003.4862347021955,785.5281715857824,29.298874735662427
19,323.1811002575741,94.91424378075612,0.0,183.24755446968499,10.800810259633835,985.0333530263755,878.8552029291694,0.8
20,274.1963002262733,113.1178444405152,146.4294642690743,163.932833945165,11.994556616327909,932.3524122581956,689.2315135446047,0.8
21,158.9190506775205,0.0,141.37561164975438,188.01599646682055,9.430423836727154,1002.6703854444331,788.9838412121046,121.98353505747407
22,393.9339048871572,14.232864552980544,33.081982038857504,163.03820745971635,0.0,994.9174675466471,927.1308785486326,20.85544064349833
23,284.03054528339806,173.33880966216833,0.0,190.8254337841812,9.91851156283844,1176.3369581077357,695.6369789523435,28.016831939422627
24,404.247045976452,86.97077361035403,38.335450541780375,189.4097241942809,0.0,991.1446767985441,666.90709580877,9.303989928098154
25,302.2181442512005,38.27145529640803,0.0,220.71826611443242,2.4157576187221332,898.8871109546708,836.1154281962712,37.04386436093283
